REEF_ID,REEF_NAME,SECTOR,SHELF,LATITUDE,LONGITUDE,in_marine_protected_area,capad_name,capad_iucn,capad_type,capad_match_count
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.491667,True,Great Barrier Reef,Ia,Marine Park,2
14115S,NYMPH REEF,CL,M,-14.658333,145.25,True,Great Barrier Reef,II,Marine Park,2
14116S,LIZARD ISLAND,CL,M,-14.675,145.466667,False,,,,0
14118S,EYRIE REEF,CL,M,-14.716667,145.375,True,Great Barrier Reef,II,Marine Park,2
14120B,TURTLE GROUP REEF (NO 2),CL,I,-14.736667,145.2,False,,,,0
14123S,MARTIN REEF(14123),CL,I,-14.766667,145.358333,True,Great Barrier Reef,VI,Marine Park,2
14126S,LINNET REEF,CL,I,-14.783333,145.341667,True,Great Barrier Reef,VI,Marine Park,2
14133S,14133S,CL,M,-14.916667,145.516667,True,Great Barrier Reef,VI,Marine Park,2
14134S,EYE REEF,CL,M,-14.891667,145.475,True,Great Barrier Reef,VI,Marine Park,2
14135S,HELSDON REEF,CL,M,-14.95,145.491667,True,Great Barrier Reef,VI,Marine Park,2
14137S,CARTER REEF,CL,O,-14.55,145.583333,True,Great Barrier Reef,Ia,Marine Park,1
14138S,YONGE REEF,CL,O,-14.6,145.625,True,Great Barrier Reef,Ia,Marine Park,1
14139S,NO NAME REEF,CL,O,-14.65,145.65,True,Great Barrier Reef,II,Marine Park,1
14143S,NORTH DIRECTION REEF,CL,M,-14.741667,145.508333,False,,,,0
14147A,SOUTH DIRECTION REEF (NORTH),CL,M,-14.825,145.525,False,,,,0
14152S,NO 10 PATCHES (NO 2),CL,O,-14.933333,145.683333,True,Great Barrier Reef,II,Marine Park,1
14154S,RIBBON NO 9 REEF,CL,O,-14.991667,145.708333,True,Great Barrier Reef,VI,Marine Park,1
15002S,TWO ISLANDS REEF,CL,I,-15.025,145.441667,True,Great Barrier Reef,VI,Marine Park,2
15005S,THREE ISLANDS REEF,CL,I,-15.116667,145.425,False,,,,0
15009S,FORRESTER REEF,CL,M,-15.166667,145.5,True,Great Barrier Reef,VI,Marine Park,1
15012S,BOULDER REEF,CL,I,-15.416667,145.425,True,Great Barrier Reef,IV,Marine Park,1
15013S,EGRET REEF,CL,I,-15.475,145.416667,True,Great Barrier Reef,IV,Marine Park,1
15018S,PASCO REEF,CL,M,-15.05,145.533333,True,Great Barrier Reef,VI,Marine Park,2
15019S,LONG REEF(15019),CL,M,-15.05,145.566667,True,Great Barrier Reef,VI,Marine Park,2
15022S,15022S,CL,M,-15.1,145.625,True,Great Barrier Reef,VI,Marine Park,1
15023S,15023S,CL,O,-15.1,145.666667,True,Great Barrier Reef,VI,Marine Park,2
15024S,MACKAY REEFS,CL,M,-15.15,145.575,True,Great Barrier Reef,VI,Marine Park,1
15025S,HARRIER REEF,CL,O,-15.133333,145.691667,True,Great Barrier Reef,VI,Marine Park,2
15027S,MARX REEF,CL,M,-15.2,145.616667,True,Great Barrier Reef,VI,Marine Park,1
15028S2,STARTLE (EAST),CL,M,-15.208333,145.55,True,Great Barrier Reef,VI,Marine Park,2
15030S,SWINGER REEF,CL,M,-15.241667,145.533333,True,Great Barrier Reef,VI,Marine Park,2
15032S,RIBBON NO 6 REEF,CL,O,-15.283333,145.75,True,Great Barrier Reef,Ia,Marine Park,1
15034S,15034S,CL,O,-15.316667,145.766667,True,Great Barrier Reef,II,Marine Park,1
15037S,15037S,CL,O,-15.333333,145.75,True,Great Barrier Reef,II,Marine Park,1
15047S,15047S,CL,M,-15.466667,145.683333,True,Great Barrier Reef,VI,Marine Park,1
15050S,RIBBON NO 3 REEF,CL,O,-15.483333,145.8,True,Great Barrier Reef,VI,Marine Park,1
15054S,ROCKY ISLAND REEF(15054),CL,M,-15.603333,145.336667,True,Great Barrier Reef Coast,VI,Marine Park,2
15077S,15077S,CL,M,-15.558333,145.65,True,Great Barrier Reef,VI,Marine Park,2
15080S,RIBBON NO 1 REEF,CL,O,-15.608333,145.8,True,Great Barrier Reef,VI,Marine Park,1
15081S,ROSSER REEF,CL,M,-15.616667,145.516667,True,Great Barrier Reef,VI,Marine Park,1
15084S,IRENE REEF,CL,M,-15.65,145.716667,True,Great Barrier Reef,VI,Marine Park,1
